Sample,Brix,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,455,457,459,461,463,465,467,469,471,473,475,477,479,481,483,485,487,489,491,494,496,498,500,502,504,506,508,510,512,514,516,518,520,523,525,527,529,531,533,535,537,539,541,543,545,548,550,552,554,556,558,560,562,564,566,568,571,573,575,577,579,581,583,585,587,589,592,594,596,598,600,602,604,606,608,611,613,615,617,619,621,623,625,628,630,632,634,636,638,640,642,645,647,649,651,653,655,657,659,662,664,666,668,670,672,674,677,679,681,683,685,687,689,692,694,696,698,700,702,704,707,709,711,713,715,717,720,722,724,726,728,730,733,735,737,739,741,743,746,748,750,752,754,756,759,761,763,765,767,769,772,774,776,778,780,782,785,787,789,791,793,795,798,800,802,804,806,809,811,813,815,817,819,822,824,826,828,830,833,835,837,839,841,844,846,848,850,852,855,857,859,861,863,866,868,870,872,874,877,879,881,883,885,888,890,892,894,896,899,901,903,905,907,910,912,914,916,918,921,923,925,927,929,932,934,936,938,941,943,945,947,949,952,954,956,958,960,963,965,967,969,972,974,976,978,980,983,985,987,989,992,994,996,998,1000,1003,1005,1007,1009,1012,1014,1016,1018,1020,1023,1025,1027,1029,1032,1034,1036,1038,1041,1043,1045,1047,1049,1052,1054,1056,1058,1061,1063,1065,1067,1070,1072,1074,1076,1078,1081,1083,1085,1087,1090,1092,1094,1096,1099
White Ref,,2498.79,2630.86,2763.06,2908.46,3082.92,3292.44,3503.46,3694.79,3863.21,4034.51,4243.32,4486.21,4729.59,4952.59,5148.67,5344.68,5577,5829.37,6118.38,6397.7,6704.05,7017.67,7345.7,7692.49,8074.35,8490.16,8946.44,9411.98,9901.76,10404.5,10921.1,11459.9,12001.5,12533.9,13043.2,13531,14004.6,14445.6,14889.9,15340.7,15768.7,16120.7,16453,16755.8,17006.6,17202.5,17358.7,17502.4,17615.2,17690.5,17741,17768.2,17802.2,17810.2,17791.3,17785.3,17769.7,17792.6,17837.1,17926.9,18096.4,18336,18615.8,18956.5,19340.8,19808.9,20322,20886.2,21539.8,22270.8,23044.2,23826,24630.7,25442,26293,27170.5,28086,29039.9,30014,31040.1,32032.9,33087.9,34142.1,35246.5,36323.2,37403.1,38448.4,39454.6,40377.7,41237,42018.8,42771.1,43431.8,44047.4,44602.3,45128.1,45588.3,46037.8,46440.5,46772.8,47098.6,47454.4,47730,47984,48152.2,48322.4,48552.2,48687.4,48878.9,48984.9,49084.5,49183.2,49296,49454.6,49473.7,49403.5,49155.3,48980.8,48900,49085.1,49387.5,49688.2,50052.4,50300.9,50642.2,51071.8,51561.9,51977.6,52462.4,52841.5,53359.7,53958.1,54500.4,55082.1,55657.9,56210,56803.2,57430.7,58032.8,58650.5,59204.5,59735.9,60225.4,60679.6,61077.3,61477.9,61782.3,62056.8,62228.7,62380,62563,62765.8,62906.4,63092.5,63184.4,63192,63202,63137.3,63142.2,63139.6,63117.8,63065.4,63058.8,63163.9,63218.2,63249,63230.8,63210.6,63189.6,63212.6,63226.3,63267.9,63289.9,63188.3,63126.4,63125.3,63092.3,63083.7,63006.9,62988.4,63044.7,63078.9,63120,63031.6,63012.5,62976,62928,62937.2,62875.6,62924.6,62878.4,62903.6,62887.5,62970.4,62898.7,62869.4,62832,62884.9,62819.6,62845.3,62791,62822.5,62838.8,63000.1,62919.7,62878.9,62856.1,62839.6,62967.6,62914.1,62951.3,62846.1,62817.1,62790.8,62766.8,62815,62873,62905.6,62935,62857.1,62838.8,62838.6,62846.6,62849.8,62862.6,62809.6,62856.2,62865.5,62835.1,62815.6,62767.6,62759.5,62770.2,62789.4,62825,62798.2,62752.4,62740.1,62657,62751.4,62748.1,62744.3,62812.1,62674.7,62663.8,62619.6,62642,62719.7,62704,62641.9,62573.7,62506.6,62587.1,62645.5,62480.4,62192.1,61798,61364.6,60834.1,60147.7,59443.4,58559.6,57585.4,56470,55257.5,54068.5,52821.2,51607.4,50363.8,48963.8,47651.3,46335.2,45062.9,43803.3,42473.5,41051.2,39576.8,38140.6,36647.8,35234.8,33815.2,32433.9,31138.7,29827.7,28569.4,27376.6,26185.6,25051.7,23970.8,22896.7,21873.9,20874.2,19881.8,18910.1,17988.5,17068,16186.9,15310.2,14504.3,13746.6,13017.7,12324.9,11661.5,11030.5,10451.6,9890.21,9379.17,8877,8405.97,7951.83,7539.67,7167.06,6843.94,6564.67,6267.52,5994.41,5745.51,5504.49,5319.67,5145.97,4988.11,4822.94,4673.79,4526.54,4401.4,4277.27
Dark Ref,,1277.95,1278.83,1272.46,1256.43,1250.7,1259.46,1266.29,1266.54,1264.29,1256.87,1258.84,1264.76,1263.92,1269.97,1270.25,1274,1276.98,1269.05,1268.48,1258.43,1256.65,1260.54,1259.17,1266.13,1266.81,1259.62,1261.92,1259.98,1266.05,1264.46,1255.52,1257.37,1253.6,1260.98,1254.35,1252.27,1244.79,1244.68,1243.92,1257.38,1258.73,1265.43,1256.9,1256.4,1255,1248.89,1248.11,1252.87,1258.27,1258.92,1250.44,1246.11,1242.13,1245.78,1249.24,1250.67,1247.7,1252.16,1250.54,1244.63,1251.87,1252.92,1259.56,1260.06,1249.11,1249.29,1257.19,1275.25,1297.16,1328.22,1351.35,1337.97,1316.94,1275.29,1259.32,1256.94,1251.95,1256.13,1248.27,1249.79,1247.35,1242.56,1241.84,1240.62,1245.1,1262.4,1286.89,1303.52,1311.1,1306.43,1292.43,1283.63,1280.76,1268.75,1267.54,1261.54,1260.4,1254.38,1256.32,1254.19,1296.67,1366.25,1392.33,1384.19,1309.81,1282.87,1269.67,1267.25,1260.13,1258.03,1260.83,1254.54,1243.46,1230.52,1223.41,1206.86,1170.44,1130.33,1103.78,1103.11,1097.57,1086.51,1080.68,1082.7,1092.35,1100.17,1107.65,1099.57,1096.25,1091.21,1095.27,1102.33,1105.1,1106.05,1094.86,1078.02,1078.06,1079.13,1085.05,1093.24,1093.86,1085.05,1091.59,1089.81,1092.46,1094.43,1102.7,1104.59,1110.83,1108.57,1108.19,1107.65,1108.29,1100.4,1099.87,1093.92,1102.7,1105.4,1098.6,1097.81,1101.92,1107.06,1113.98,1099.46,1109.1,1112.65,1115.71,1127.48,1122.92,1119.19,1120.27,1118.56,1118.67,1123.29,1116.6,1113.41,1108.06,1104.49,1111.4,1108.41,1112.94,1102.43,1103.24,1100.21,1101.54,1107.57,1115.43,1115.79,1123.17,1128.37,1130.33,1132.67,1132.16,1136.79,1147.4,1153.44,1153.9,1153.62,1149.78,1144.32,1140.48,1134.44,1138.48,1141.22,1129.43,1132.44,1126.41,1128.54,1136.75,1134.43,1135.95,1130.44,1129.54,1132.67,1143.97,1152.68,1151.1,1160.78,1151.14,1155.56,1161.05,1171.87,1172.81,1179.06,1170.83,1169.78,1174.76,1183.03,1176.32,1176.3,1161.52,1161.35,1164.57,1178.19,1174.59,1179.17,1172.83,1161.21,1170.21,1168.06,1174.13,1184.73,1191.57,1193.03,1187.43,1176.84,1181.52,1176.7,1175.08,1176.32,1175.83,1177.21,1172.73,1187.51,1190.03,1200.68,1199.19,1205.05,1205.78,1209.02,1211.95,1212.4,1210.24,1216.19,1223.35,1228.86,1233.13,1224.56,1222.98,1223.9,1218.19,1224.46,1220.46,1229.51,1229.38,1244.78,1240.1,1245.49,1248.1,1244.49,1240.98,1243.38,1244.87,1250.29,1252.87,1251.9,1262.75,1266.73,1277.9,1270.84,1283,1276.38,1281.49,1284.49,1268.06,1276.84,1270.44,1280.73,1280.6,1290.13,1282.16,1278.02,1278.46,1280.9,1285.7,1292.65,1296.84,1287.25,1298.56,1289.48,1297.89,1297.19,1299.43,1305.94,1300.65,1303.17,1306.94,1311.97,1327.44,1324.22,1318.98,1326.83,1335.86,1349.87,1361.56,1365.56
Brix_0,15.3,1549.17,1550.37,1545.84,1531.25,1529.52,1537.24,1548.02,1550.29,1554.63,1548.54,1552.46,1559.98,1561.54,1569,1573.83,1577.9,1585,1587.22,1588.35,1585.35,1586.25,1594.56,1600.68,1609.75,1614.1,1618.17,1628.14,1635.57,1651.52,1657.51,1662.76,1678.54,1686.17,1704.37,1706.83,1714.1,1714.51,1730.22,1745.6,1775.67,1785.35,1798.52,1803.57,1824.79,1844.43,1862.97,1884.05,1911.92,1952.1,1991,2026.87,2072.89,2131.97,2204.16,2291.94,2390.1,2510.89,2659.75,2827.89,3037.06,3291.86,3580.52,3892,4246.94,4618.08,5018.51,5464.7,5913.67,6391.54,6881.73,7354.62,7853.95,8379.51,8914,9471.62,10006.2,10544.2,11105.2,11683.4,12299.4,12930.5,13590.6,14274.8,14971.8,15671.8,16390.9,17119.2,17874.2,18616.1,19318.5,19974.1,20604.9,21216.1,21788.5,22337,22850.8,23322.2,23754.6,24139.3,24442.2,24718.6,24973.8,25178,25415.6,25584.5,25755.3,25922.2,26042.1,26232.4,26415.5,26622,26794,26906.8,26927.4,26745.8,26337,25664.2,24986.2,24380.2,23984.9,23811.6,23768.9,23844,23857.5,23750.6,23501.9,23089.6,22576,22095.9,21694.9,21554.6,21692.3,22123,22959.1,24286.2,26309.9,29111.1,32574.1,36410.8,40228.8,43687,46707.6,49227.2,51436.6,53376.3,55135.4,56551.5,57769.3,58714,59632,60494.8,61250.7,61889,62371.6,62679.6,62836.6,62930.2,62940.4,62981.5,63011.5,63016.2,62992.6,63002.3,63126.1,63186,63221.4,63216.2,63198.9,63180.1,63201.7,63214.2,63258.6,63282.4,63186.6,63125,63120.3,63086.2,63065.6,62993.4,62972.7,63037.7,63077.5,63119.5,63023.8,63001.4,62963.1,62916.6,62930.2,62871.5,62911.5,62859.7,62892.8,62877.1,62967.5,62891.2,62860.2,62819.3,62879.4,62811.7,62839.5,62777.5,62809.5,62816.7,62972.6,62894.2,62845.9,62816,62784.9,62875.5,62790,62728.1,62472.3,62197,61821.3,61403.7,60972.5,60485.8,59972.7,59406.2,58730.1,58118.8,57548.2,56978.6,56406,55828.3,55157,54546.5,53839.4,53077.7,52247.6,51407.2,50566.2,49715.2,48992.6,48284.8,47677.7,47054.8,46436.3,45864.3,45261.9,44633.1,43868.8,43049.9,42148.7,41208.2,40192.7,39033.6,37827.9,36476.5,35072.7,33681.3,32279.4,30847,29414,27945.3,26459.4,24933.5,23404,21837.3,20322.6,18917.7,17670.9,16624.5,15761.7,15030.5,14433.9,13893.2,13398.4,12954.6,12496.1,12081.1,11738,11407.7,11142.9,10857.6,10595.2,10322.8,10063.5,9801.54,9556.1,9297.65,9070.48,8833.1,8605.81,8387.16,8179.25,7986.97,7804.95,7632.49,7454.89,7309.14,7157.68,7019.43,6877.56,6718.78,6568.43,6397.71,6201.29,5980.87,5774.1,5567.94,5409.29,5255.32,5094.89,4904.86,4701.46,4504.13,4324.24,4182.71,4036.13,3900.87,3756.87,3617.24,3495.57,3367.19,3271.94,3182.17,3099.33,3025.89,2945.08,2866.11,2809.7,2751.36,2709.36,2671.84,2625.62
Brix_1,13,1527.43,1530.03,1525.87,1512.54,1508.24,1518.62,1528.63,1535.43,1537.32,1530.54,1530.14,1537.03,1536.1,1548.97,1553.48,1557.87,1560.44,1559.9,1564.75,1560.76,1566.08,1573.32,1570.6,1578.76,1583.13,1585.1,1599.49,1606.54,1622.9,1627.22,1627.02,1634.1,1639.14,1657.25,1659.67,1663.94,1665.25,1677.24,1687.05,1712.38,1719.98,1735.52,1741.67,1756.43,1776.32,1791.49,1809.41,1835.14,1870.68,1906.65,1937.97,1975.65,2020.02,2081.41,2155.3,2249.86,2361.76,2505.71,2668.16,2862.06,3105.54,3378.84,3697.17,4025.17,4393.24,4778.16,5196.4,5640.13,6088.6,6568.84,7041.83,7498.24,7971.3,8457,8958.13,9475.49,9989.7,10519.4,11046.8,11585.4,12129.8,12681.5,13243.2,13798.6,14331.5,14887.4,15463.7,16027,16586.7,17138.9,17650.9,18171,18672.6,19161.9,19627.5,20083,20480.5,20853.7,21185.8,21445.4,21658.6,21822.5,21932.3,22029.8,22103.8,22131.9,22155.1,22179.7,22252.9,22349.7,22463.8,22563.2,22607.1,22557.3,22323,21896.8,21257.3,20616.9,20007.6,19624,19414.1,19370.6,19423.5,19438.9,19364.5,19134.2,18776.7,18333.9,17926.8,17593,17484.1,17615.1,17982.3,18694.5,19855.6,21668.1,24324.2,27712.1,31590.2,35685.8,39593,43159.6,46228.1,48889.5,51202.4,53284.3,55017.3,56491.5,57672.2,58799.3,59805.7,60688.2,61445.6,62029.8,62429.6,62660.5,62795.3,62837.9,62895.6,62935.2,62957.8,62938.6,62955.4,63084,63147.5,63191.7,63202.5,63191.6,63170.4,63203.1,63220.8,63268.5,63285.7,63189.6,63124.6,63120.8,63083.9,63069.4,62991.5,62975.2,63032.4,63070,63109,63034.5,63013.8,62974,62917.9,62918.9,62859.5,62910.2,62865.9,62900.1,62886.4,62972.8,62890.3,62859.9,62813.5,62871.3,62802.4,62817.4,62767.6,62796.7,62803,62960.5,62871,62806.9,62745.4,62652.5,62622.6,62371.1,62071.5,61514.9,60906.4,60174.5,59446.7,58766.3,58135,57540.2,56960,56284.3,55651.2,55050.2,54442.2,53840.9,53254.2,52590,51967.7,51297.3,50535.2,49780.3,49011.6,48221.8,47421,46683.8,46012.2,45377.8,44766.9,44116,43487.9,42880.2,42209.9,41476.8,40658.8,39750.3,38796.3,37760.8,36593.3,35424.2,34107.6,32782.9,31441.8,30096.8,28728.3,27339.8,25903.9,24452.4,23000.5,21539.2,20044.7,18596,17232.4,16057.1,15106.7,14304.2,13660.7,13112.7,12623.4,12173,11751,11341.2,10969.1,10647,10362.1,10126.4,9884.83,9647.68,9403.92,9166.46,8921.43,8683.33,8447.25,8233.78,8042.75,7850.95,7667.48,7478.35,7308.6,7167.98,7051.83,6940,6837.86,6700.49,6588.68,6431.89,6261.83,6085.21,5879.44,5684.62,5506.65,5378.56,5228.06,5077.02,4903.87,4719.95,4542.03,4372.38,4231.73,4085.86,3956.95,3817.79,3680.27,3543.97,3425.25,3309.35,3197.73,3101.11,3019.57,2941.24,2881.21,2814.21,2743.84,2684.11,2630.98,2589.59,2561.9,2522.89
Brix_2,13.6,1523.76,1527.68,1521.14,1506.51,1503.35,1512.46,1523.08,1526.6,1526.37,1515.4,1518.84,1529.6,1532.75,1542.84,1544.71,1547.41,1551.33,1548.89,1554.63,1551.37,1558.51,1562.62,1564.22,1567.97,1569.94,1574.08,1584.6,1590.38,1601.62,1603.13,1601.73,1614.87,1616.16,1630.86,1629.67,1636.95,1641.44,1653.79,1661.38,1685.78,1694.44,1704.89,1704.05,1720.35,1735.1,1752.67,1763.67,1782.81,1803.14,1829.49,1850.98,1880.67,1905.59,1938.54,1978.06,2026.84,2089.78,2165.25,2247.19,2343.19,2462.87,2592.41,2744.4,2903.27,3061.71,3248.71,3453.49,3679.43,3902.71,4134.86,4383.49,4670.75,4960.35,5255.95,5557.94,5892.97,6253.13,6631.97,6998.67,7390.63,7798.68,8234.48,8687.52,9160.49,9616.32,10091.3,10569.8,11029.7,11502.7,11943,12367.2,12785.4,13199.8,13598,13985.2,14356.5,14731.5,15072.4,15416.8,15709.6,15978.8,16231.1,16453.8,16691.4,16922.9,17132.8,17366,17571.1,17802,18036,18259.9,18470.2,18616.1,18675.1,18555.6,18256.9,17775.2,17243.8,16770.4,16444.5,16266.9,16201.5,16225.3,16198.8,16097.7,15869.2,15531.2,15121.6,14747.7,14434.7,14313.8,14394.9,14686.4,15258.7,16235.8,17748.3,19937,22706.8,25832.9,29065.6,32146.7,34991,37533.9,39784,41724.6,43464.2,44928.2,46252.8,47405.2,48583.8,49746.6,50862.8,51997.1,53000.6,53943,54798.6,55551.7,56207.1,56710.8,57171.7,57677.2,58181.7,58807.6,59529.7,60187.3,60932.5,61520.6,62057.8,62489.7,62877.2,63117.7,63293.3,63371.1,63297.8,63239.6,63239.2,63200.9,63184.8,63112.2,63097.2,63151.1,63178.2,63209.6,63117.5,63104.4,63060.1,63006.5,63010.1,62944.6,62991.4,62944.8,62971.8,62960.2,63043,62966.1,62936.8,62884,62935.5,62862.6,62884.8,62829.6,62854.2,62849.2,62973.2,62837.4,62705.2,62544,62319.3,62139.5,61744.4,61293.2,60607.8,59931,59182.6,58496.9,57881.6,57309.8,56759.6,56225.8,55621.7,55047.4,54502.9,53916.8,53367.1,52824.1,52254.6,51695.5,51083.8,50384.5,49674.2,48969.1,48216.2,47443,46756.2,46127.4,45553.1,44996.8,44395.1,43854.8,43313.3,42697.5,41988.3,41209.7,40342.9,39441.8,38486.3,37399.8,36315.5,35057.9,33771.5,32480.2,31165.1,29852.5,28494,27122.2,25738,24329.6,22905.3,21447.2,20006.4,18655.7,17456.1,16474.2,15668.3,14989.6,14417.3,13870.2,13397.5,12954.6,12521.1,12126.9,11770.6,11453.4,11178.3,10899.6,10634.7,10355,10101.3,9832.32,9590.3,9335.21,9113.57,8889.17,8658.51,8455.08,8253.03,8065.98,7884.68,7721.19,7539.27,7387.24,7210.17,7056.32,6890.87,6701.84,6519.44,6314.98,6100.9,5880.27,5676.06,5476.57,5315.46,5169.38,4993.37,4802.87,4600.67,4418.86,4249.68,4104.19,3946.33,3813.57,3670.98,3538.86,3416.52,3292.87,3195.25,3109.24,3031.59,2964.92,2890.52,2817.19,2760.13,2705.92,2668.03,2637.38,2595.14
