Sample,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,455,457,459,461,463,465,467,469,471,473,475,477,479,481,483,485,487,489,491,494,496,498,500,502,504,506,508,510,512,514,516,518,520,523,525,527,529,531,533,535,537,539,541,543,545,548,550,552,554,556,558,560,562,564,566,568,571,573,575,577,579,581,583,585,587,589,592,594,596,598,600,602,604,606,608,611,613,615,617,619,621,623,625,628,630,632,634,636,638,640,642,645,647,649,651,653,655,657,659,662,664,666,668,670,672,674,677,679,681,683,685,687,689,692,694,696,698,700,702,704,707,709,711,713,715,717,720,722,724,726,728,730,733,735,737,739,741,743,746,748,750,752,754,756,759,761,763,765,767,769,772,774,776,778,780,782,785,787,789,791,793,795,798,800,802,804,806,809,811,813,815,817,819,822,824,826,828,830,833,835,837,839,841,844,846,848,850,852,855,857,859,861,863,866,868,870,872,874,877,879,881,883,885,888,890,892,894,896,899,901,903,905,907,910,912,914,916,918,921,923,925,927,929,932,934,936,938,941,943,945,947,949,952,954,956,958,960,963,965,967,969,972,974,976,978,980,983,985,987,989,992,994,996,998,1000,1003,1005,1007,1009,1012,1014,1016,1018,1020,1023,1025,1027,1029,1032,1034,1036,1038,1041,1043,1045,1047,1049,1052,1054,1056,1058,1061,1063,1065,1067,1070,1072,1074,1076,1078,1081,1083,1085,1087,1090,1092,1094,1096,1099,
White Ref,1239.35,1241.43,1230.79,1217.6,1213.54,1222.65,1231.14,1235.51,1231.02,1224.33,1225.19,1227.81,1230.37,1236.11,1239.62,1240.83,1237.78,1234.17,1232.24,1230.49,1229.52,1231.52,1231.68,1233.59,1234.13,1227.27,1230.97,1231.9,1239.1,1237.43,1231.03,1234.75,1233.51,1240.41,1236.19,1234.24,1227.13,1228.63,1231.11,1244.79,1246.56,1249.11,1242.78,1246.16,1249.16,1245.49,1242.3,1241.02,1246.41,1252.9,1246.44,1240.89,1237.57,1234.87,1234.84,1234.51,1233.89,1239.21,1235.51,1233.43,1238.54,1240.6,1244.67,1242.52,1234.7,1235.35,1238.24,1237.83,1239.92,1244.81,1246.03,1246.19,1243.54,1243.13,1239.81,1244.29,1244.52,1249.22,1243.84,1242,1240.33,1240.94,1243.76,1243.97,1243,1249.57,1262.95,1271.13,1278.16,1276.75,1270.92,1268.84,1267.81,1264,1267.75,1266.94,1268.1,1265.17,1269.68,1266.38,1267.4,1261.87,1261.76,1261.17,1268.14,1271.02,1271.27,1270.03,1267.16,1268.35,1268.11,1270.62,1267.24,1265.67,1267.6,1252.51,1221.87,1188.84,1164.48,1163.33,1160.43,1152.3,1148.44,1147.14,1158.51,1165.02,1173.16,1169.41,1163.78,1158.32,1161.94,1171.14,1177.43,1177.13,1169.79,1158.06,1159.14,1165.05,1172.6,1183.84,1184.49,1177.95,1182.3,1188.4,1194.27,1195.21,1193.43,1193.29,1198,1206.02,1222.1,1233.21,1243.87,1242.25,1243.83,1245.86,1258.7,1266.83,1267.62,1275.97,1293.84,1315.44,1336.56,1346.02,1372.81,1404.37,1440.76,1489.33,1536.95,1590.44,1664.16,1741.9,1828.22,1923.87,2013.54,2095.67,2175.38,2247.57,2323.87,2389.14,2446.29,2492.24,2534.95,2555.48,2579.68,2599.08,2621.89,2635.89,2648.68,2659.64,2659.08,2654.6,2649.44,2652.79,2661.49,2671.84,2669.73,2667.89,2657.54,2646.98,2635.54,2623,2619.43,2618.92,2603.73,2600.79,2588.27,2574.56,2565.7,2543.52,2536.43,2519.36,2506.35,2494.92,2493.51,2491.36,2479.97,2485.3,2471.14,2470.13,2462.02,2462.71,2465.19,2471.56,2469.52,2460.76,2458.29,2454.06,2443.9,2427.4,2403.13,2391.21,2376.22,2370.83,2357.57,2357.71,2347.68,2339.25,2345.21,2341.73,2343.95,2336.68,2335.97,2332.98,2318.17,2308.87,2295.22,2278.22,2260.97,2244.86,2236.11,2224.4,2208.6,2208.11,2192.36,2181.97,2160.81,2144.08,2127.59,2109.38,2094.94,2076.98,2055.51,2035.62,2021.29,2002,1983.25,1956.68,1929.95,1912.51,1885.83,1865.97,1832.97,1815.13,1795.22,1788.05,1766.68,1750.92,1730.84,1701.14,1675.08,1653.4,1634.59,1618.76,1602.94,1582.94,1566.89,1555.11,1541.19,1526.78,1519.71,1500.97,1489.79,1478.08,1450.76,1443.46,1427.63,1417.52,1399.94,1399.78,1378.41,1365.62,1360.14,1352.24,1348.33,1340.37,1336.41,1322.87,1322.87,1311.94,1306.73,1300.3,1294.76,1294.86,1282.7,1280.06,1282.76,1285.65,1294.32,1291.11,1281.16,1286.06,1286.92,1294.24,1305.92,1304.68,
Dark Ref,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
t_0,1291.95,1293.56,1287.21,1272.33,1268.79,1277.06,1284.63,1287.94,1283.92,1277.59,1279.71,1287.05,1287.03,1294.3,1296.75,1297.32,1298.67,1294.06,1297.86,1295.14,1295.54,1298.29,1297.97,1302.59,1306.21,1302.62,1313.32,1315.98,1328.37,1328.56,1326.95,1334.3,1338.25,1350.27,1349.83,1352.94,1350.67,1359.95,1366.89,1385.56,1392.7,1400.11,1401.13,1408.46,1416.33,1421.48,1422.98,1426.33,1435.3,1442.54,1442.25,1441.51,1439.3,1445.06,1451.05,1452.54,1453.37,1457.97,1456.05,1452.71,1458.87,1461.21,1466.57,1467.68,1461.7,1462.46,1470.95,1477.7,1485.87,1500.54,1507.38,1517.79,1525.25,1537.63,1549.41,1565.08,1577.48,1594.76,1603.16,1613.73,1624.4,1629.75,1639.32,1642.25,1650.68,1666.9,1695.05,1723.65,1759.49,1795.83,1836.11,1892.52,1947.54,2008.32,2071.05,2137.36,2205.36,2268.56,2326.65,2378.64,2438.4,2491.08,2555.11,2609.52,2667.05,2716.56,2760.02,2799.16,2842.33,2892.14,2930.29,2963.03,2993.19,3032.38,3072.11,3089.03,3077,3061.05,3064.71,3095.32,3131.68,3158.54,3194.71,3236.1,3293.38,3356.08,3410.4,3459.35,3512.33,3559.22,3620.94,3690.65,3755.92,3826.13,3881.4,3928.76,3987.56,4050.17,4117.1,4185.21,4249.95,4321.1,4418.95,4513.81,4611.56,4701.83,4791.79,4878.54,4946.4,5030.25,5105.78,5168.35,5249.57,5307.78,5380.6,5457.68,5568.3,5672.33,5787.56,5899.81,6021.73,6128.29,6241.16,6355.92,6498.46,6649.78,6821.19,7021.81,7257.78,7530.49,7860.22,8229.03,8617.51,9019.6,9402.43,9754.89,10096,10406.4,10703.1,10926.1,11135.6,11282,11403,11496.9,11551,11584.6,11619.1,11609.8,11557.5,11501.6,11422.3,11370.5,11296,11227.4,11161.5,11087.8,11013.8,10943.3,10853.5,10771.3,10656.4,10551.4,10433.1,10317.5,10172.7,10047.9,9922.19,9811.49,9704.29,9580.13,9460.59,9318.79,9212.48,9107.05,9039.62,8967.11,8893.16,8829.65,8759.65,8700.62,8646.78,8603.67,8554.73,8512.59,8467.1,8410.65,8351.4,8288.16,8191.14,8114.56,8019.67,7909.9,7801.63,7701.46,7616.14,7561.87,7501.33,7441.75,7396.92,7337.14,7276.95,7201.89,7121.97,7037.57,6957.68,6858.98,6767.92,6665.29,6574.05,6473.3,6370.76,6251.86,6117.51,5979.71,5823.81,5664,5496.54,5348.33,5197.63,5050.65,4895.78,4719.83,4551.17,4398.41,4284.17,4187.95,4107.48,4035.83,3961.43,3879.46,3800.59,3723.9,3647.32,3585.02,3511.95,3450.49,3377.17,3307.14,3237.24,3161.79,3095.22,3030.21,2975.36,2916.35,2852.98,2791.79,2729.79,2672.52,2619.22,2564.36,2523.14,2467.4,2416.94,2362.76,2296.32,2247.35,2198.6,2154.86,2109.52,2073.08,2024.83,1981.87,1937.38,1897.25,1860.79,1828.9,1805.54,1760.3,1739.95,1702.75,1678.3,1653.33,1626.97,1608.9,1581.9,1565.35,1551.94,1545.59,1544.75,1527.49,1508.95,1500.35,1493.06,1492.56,1498.06,1492.89,
t_1,1264.71,1264.03,1257.33,1247.11,1243,1249.7,1256.03,1255.68,1254.25,1249.38,1250.16,1254.95,1253.95,1258.05,1259.57,1260.05,1261.43,1255.52,1255.78,1250.27,1247.46,1249.98,1246.51,1250.02,1248.98,1245.06,1250.81,1250.7,1258,1257.67,1253.83,1255.57,1254.57,1260.76,1255.84,1253.97,1247.7,1249.19,1251,1263.86,1267.83,1273.29,1269.54,1270.9,1271.56,1269.86,1269.3,1271.25,1276.46,1279.87,1276.33,1274.54,1273.17,1275.16,1277.3,1276.87,1276.54,1279.4,1277.27,1274.62,1280.4,1281.03,1280.63,1279.48,1272.57,1277.92,1282.43,1282.73,1283.52,1286.73,1286.24,1288.46,1285.62,1288.24,1289.11,1295.59,1298.83,1303.06,1298.14,1300.19,1299.16,1297.97,1298.7,1300.56,1298.78,1306.29,1323.83,1336.7,1350.51,1360.14,1361.35,1379.7,1396.97,1417.29,1444.17,1467.32,1497.21,1524.83,1560.3,1588.59,1621.43,1644.83,1676.37,1707.86,1747.38,1783.98,1816.21,1843.17,1864.83,1893.22,1917.67,1942.68,1960.65,1978.95,2003.46,2009.6,1994.68,1978.52,1967.29,1983.51,2000.43,2015.11,2035.33,2061.35,2091.4,2124.35,2157.9,2183.33,2206,2225.56,2258.29,2300.97,2336.87,2373.43,2395.3,2412.22,2453.25,2489.14,2536.87,2584.3,2627.3,2666.94,2711.52,2752.7,2801.81,2831.52,2874.81,2911.13,2950.35,3000.95,3049.22,3091.83,3135.06,3160.08,3198.24,3223.05,3264.08,3294.54,3318.32,3351.22,3392.41,3428.86,3478.1,3514.98,3577.33,3652.21,3721.48,3814.33,3895.86,3981.49,4068.87,4182,4310.48,4466.65,4616.49,4759.41,4879.16,4988.35,5088.81,5157.98,5238.05,5271.9,5308.21,5327.3,5341.37,5355.37,5353.22,5331.37,5307.4,5284.79,5258.54,5227.59,5191.6,5167.76,5145.68,5118.9,5087.27,5062.19,5020.62,4980.57,4932.44,4874.62,4823.57,4769.4,4695.98,4639.89,4581.24,4519.17,4473.7,4411.29,4357.56,4302.73,4252.73,4212.89,4185.08,4157.21,4129.33,4117.44,4099.89,4088.33,4075.08,4062.03,4047.38,4034.17,4017.24,4003.43,3975.22,3963.54,3936.54,3908.65,3866.24,3814.75,3767.16,3732.98,3695.67,3674.83,3642.79,3611.24,3589.48,3555.87,3532.76,3498.49,3475.11,3434.84,3397.05,3355.32,3323.51,3294.33,3250.14,3210.46,3167.84,3129.57,3075.21,3034.36,2974.86,2921.95,2853.36,2788.24,2712.33,2632.54,2558.17,2492.98,2434.13,2387.3,2354.75,2324.33,2297.08,2257.19,2222.08,2187.43,2154.79,2127.57,2099.41,2085.4,2067.02,2057.19,2029.78,2010.29,1992.98,1965.44,1936.9,1913.62,1887.03,1872.43,1848.95,1825.32,1806.71,1785.71,1766.56,1751.33,1744.98,1723.89,1709.73,1688.41,1652.33,1641.92,1620.21,1608.57,1590.13,1581.51,1558.97,1539.16,1525.49,1512.44,1500.37,1486.83,1476.22,1454.02,1448.16,1429.83,1421,1411.89,1399.46,1394.57,1381.1,1376.35,1374.92,1375.87,1382.32,1375.05,1363.35,1361.84,1360.94,1366.75,1376.08,1374.08,
t_2,1259.87,1263.03,1255,1241.27,1237.1,1241.7,1249.81,1250.7,1248.81,1243.41,1243.51,1250.25,1250.06,1253.78,1254.37,1253.9,1253.33,1249.52,1249.16,1244.75,1244.78,1246.81,1243.29,1243.38,1243.4,1238.67,1242.57,1242.22,1246.59,1244.7,1240.65,1243.38,1243.83,1251.44,1244.86,1242.97,1232.41,1230.87,1230.37,1244.38,1249.4,1255.59,1248.94,1251.19,1251.11,1247.13,1243.67,1244.46,1248.56,1255.05,1250.9,1248.68,1245.24,1245.63,1248.67,1252.3,1252.16,1254.48,1250,1246.21,1255.22,1259.03,1264.57,1264.59,1254.94,1254.33,1255.98,1254.37,1253.49,1258.98,1260.44,1261.94,1258.49,1260.44,1263.44,1271.33,1273.43,1277.3,1271.41,1270.9,1269.89,1271.17,1270.7,1270.16,1268.16,1276.67,1291.65,1301.65,1312.95,1314.92,1315.6,1322.95,1332.48,1341.14,1360.48,1376.75,1396.33,1414.65,1434.44,1450.62,1470.03,1486.51,1513.79,1531.49,1559.89,1581.78,1605.79,1623.1,1635.9,1650.9,1668.16,1685.71,1703.43,1716.54,1737.56,1745.92,1727.65,1704.95,1689.24,1704.24,1714.52,1721.19,1733.24,1752.16,1779.37,1807.43,1835.79,1851.86,1871.33,1887.13,1916.89,1952.22,1981.56,2014.17,2037.86,2053.44,2089,2126.67,2166.71,2209.48,2240.78,2267.51,2307.78,2346.03,2379.52,2410.76,2436.83,2470.75,2501.49,2545.78,2598.7,2641.92,2684.64,2709.98,2736.89,2763.52,2799,2830.51,2859.65,2887.22,2921.02,2957.08,2991.6,3001.75,3029.22,3060.81,3099.43,3152.84,3197.13,3243.17,3292.94,3346.84,3403.65,3465.33,3524.62,3580.44,3638.6,3711.22,3784.22,3846.56,3903.17,3923.9,3951.76,3966.29,3974.52,3981.1,3982.06,3967.87,3967.97,3950.38,3918.9,3884.24,3851.97,3825.98,3806.13,3779.76,3748.92,3718.75,3686.22,3653.08,3622.25,3580.24,3548.62,3514.98,3470.75,3446.4,3413.19,3381.4,3349.75,3305.73,3281.21,3247.68,3215.89,3186.41,3170.41,3156.49,3138.13,3133.21,3103,3082.89,3067.17,3062.54,3057.7,3050.49,3029.98,3006.94,2986.6,2976.79,2955.36,2935.08,2902.67,2880.52,2857.36,2838.87,2813.35,2797.21,2782.1,2756.59,2748.67,2728.38,2716.79,2706.86,2688.46,2665.67,2644.13,2609.64,2591.48,2562.25,2527.21,2489.29,2454.59,2422.16,2385.05,2361.6,2320.59,2287.49,2236.4,2191.32,2141.22,2089.21,2047.95,2007.67,1968.14,1935.92,1915.16,1900.11,1881.51,1855.95,1832.25,1811.03,1787.27,1772.94,1755.56,1749.98,1737.68,1736.54,1722.87,1717.25,1707.89,1688.29,1668.3,1653.57,1642.27,1634.52,1619.81,1602.35,1592.62,1585.6,1581.1,1568.3,1569.48,1555.43,1548.17,1535.68,1505.73,1500.62,1487.03,1478.97,1467.83,1462.65,1446.65,1433.08,1425.25,1413,1406.86,1402.33,1399.08,1381.84,1382.17,1366.08,1359.73,1349.38,1339.08,1339.9,1328.81,1328.7,1327.84,1330.98,1340.4,1337.21,1329.4,1329.94,1326.16,1333.16,1346.19,1346.83,
t_3,1270.33,1270.14,1261.92,1249.29,1246.87,1255.48,1262.46,1260.52,1257.11,1248.41,1248.27,1252.94,1253.94,1259,1259.56,1262.27,1263.02,1259.44,1258.06,1253.08,1253.68,1254.76,1250.62,1250.7,1252.6,1248.73,1255.24,1257.97,1263.06,1262.63,1257.37,1261.62,1259.27,1267.68,1263.21,1260.1,1251.03,1252.9,1257.89,1272.63,1277.98,1282.19,1276.14,1277.94,1276.9,1276.41,1274.46,1278.11,1283.67,1284.49,1280.05,1277.87,1277.87,1278.79,1281.52,1278.86,1277.08,1281.11,1277.78,1278.05,1282.81,1286.13,1289.35,1288.51,1280.08,1280.46,1283.38,1285.29,1285.92,1291.94,1291.4,1291.21,1287.22,1287.75,1288.81,1295.76,1301.17,1308.22,1304.02,1304.11,1303.38,1305.62,1307.83,1308.52,1305.19,1310.83,1324.79,1340.32,1352.76,1361.86,1363.48,1373.78,1387.68,1403,1422.67,1442.71,1468.59,1489.95,1517.84,1539.08,1564,1583.33,1610.25,1638,1670.6,1699.19,1723.33,1745,1765.49,1790.57,1815.95,1838.32,1856.03,1876.9,1896.71,1901.43,1885.19,1865.68,1855.29,1872.19,1891.37,1900.98,1916.08,1935.06,1964.79,1995.68,2021.83,2047.68,2073.64,2094.75,2130.4,2168.16,2204.43,2237.83,2257.03,2277.73,2309.68,2344.08,2382.48,2426.1,2463.06,2495.79,2535.86,2569.22,2608.08,2639.03,2673.22,2701.27,2734.62,2780.1,2830.25,2877.92,2921.35,2947.92,2983.84,3012.68,3057.1,3093.33,3118.68,3151.68,3187.11,3217.92,3256.02,3282.06,3324.52,3380.22,3440.98,3523.76,3617.84,3734.56,3867.48,3995.41,4119.1,4243.83,4374.19,4509.98,4655.4,4782.73,4907.06,4997.32,5063.19,5107.54,5150.19,5170.98,5186.59,5191.25,5198.02,5185.67,5172.24,5150.79,5113.54,5085.27,5048.52,5025.37,4997.21,4971.35,4937.16,4894.57,4859.84,4805.92,4754.05,4701.11,4644.75,4587.3,4513.41,4454.4,4401.25,4348.73,4309.25,4273.63,4235.19,4193.79,4162.24,4130.9,4112.59,4097.51,4063.35,4042.65,4013.06,3999.19,3983.7,3971.57,3952.08,3934.83,3920.68,3904.87,3890.6,3864.52,3816.46,3770.46,3722.06,3687.81,3648.54,3620.35,3572.4,3547.49,3513.1,3483.97,3484.19,3466.46,3454.79,3438.17,3416.29,3389.22,3356.33,3327.95,3300.95,3270.59,3225.71,3189.24,3145.59,3102.27,3049.29,3013.75,2954.46,2901.65,2841.68,2778.16,2715.64,2649.05,2588.6,2535.22,2480.68,2436.33,2400.59,2366.46,2340.62,2307.57,2275.56,2244.11,2208.21,2179.92,2147.27,2129.27,2105.71,2092.7,2063.02,2045.56,2019.59,1989.44,1955.6,1932.29,1909.67,1889.76,1868.65,1845.57,1822.79,1807.78,1788.24,1770.78,1760.46,1738.52,1724.52,1708.46,1672.9,1661.87,1637.7,1624.59,1603.86,1588.97,1563.03,1544.33,1530.43,1515.37,1502.57,1492.44,1481.03,1463.02,1457.57,1439.21,1431.14,1418.81,1409.16,1403.46,1384.56,1379.46,1378.52,1379.37,1390.27,1382.67,1369.29,1367.48,1368.27,1373.71,1384.25,1384.89,
t_4,1261.27,1263.56,1256.24,1244.49,1242.4,1250.02,1256.41,1257.03,1253.11,1246,1247.13,1256.76,1256.44,1262.06,1262.19,1260.84,1259.73,1254.9,1255.52,1251.89,1253.14,1252.98,1248.79,1245.92,1247.11,1242.4,1247.87,1249.65,1255.6,1253.41,1247.14,1251.62,1253.02,1259.76,1252.37,1248.35,1241.05,1246.3,1247.35,1262.65,1262.86,1267.05,1260.21,1262.14,1263.25,1263.13,1260.94,1262.33,1270.63,1272.89,1270.35,1267.54,1264.9,1266.46,1269.35,1270.52,1270.21,1273.6,1269.51,1266.7,1275.14,1279.65,1283.86,1283.67,1275.37,1275.67,1280.68,1280.63,1283.3,1289.02,1288.56,1289.75,1284.21,1286.03,1287.41,1293.7,1294.4,1300.94,1297.19,1299.44,1300.67,1301.19,1303.87,1306.62,1308.02,1317.54,1331.32,1342.43,1355.68,1363.71,1367.46,1380.78,1394.98,1408.19,1427.76,1450.1,1475.14,1500.51,1526.59,1543.86,1566.54,1581.32,1607.3,1630.3,1660.87,1689.43,1713.05,1729.84,1750.83,1777.16,1802.62,1824.62,1841.68,1858.25,1878.79,1884.44,1866.95,1852.29,1845.33,1868.6,1889.83,1901.16,1916.03,1933.21,1965.13,1995.87,2033.51,2059.62,2085.33,2105.68,2139.48,2182.56,2223.41,2260.84,2284.87,2309.06,2350.27,2393.6,2441.25,2490.92,2529.46,2567.84,2607.52,2649.57,2692.22,2730.9,2765.83,2801.68,2837.64,2891.22,2944.48,2987.54,3033.75,3064.1,3108.36,3148.32,3188.46,3227.57,3259.95,3292.92,3332.62,3367.3,3409.03,3435.06,3480.83,3526.56,3568.59,3622.11,3669.35,3727.33,3800.71,3893.13,4001.98,4119.83,4231.73,4332.68,4416.27,4487.21,4555.41,4599.84,4647.84,4666.75,4692.44,4705.75,4717.33,4726.94,4724.06,4715.51,4705.35,4690.92,4665.24,4644.98,4617.19,4598.51,4581.51,4564.71,4541.78,4525.38,4503.02,4481.17,4444.89,4400.6,4360.52,4314.76,4258.44,4207.41,4141.92,4093.32,4057.3,4008.02,3967.6,3916.89,3869.52,3835.05,3804.95,3787.9,3761.98,3756.95,3741.22,3725.27,3718.98,3709.08,3692.03,3686.92,3671.92,3661.24,3656.83,3641.51,3623.1,3598.9,3558.98,3526.03,3495.59,3473.65,3451.24,3441.51,3411.29,3383.65,3372.41,3351.76,3330.86,3309,3283.16,3248.29,3209.14,3171.43,3136.79,3099.68,3048.06,3010.3,2971.08,2931.52,2884.16,2852.35,2803.41,2758.64,2698.6,2640.05,2580.68,2511.27,2449.98,2389.27,2339.19,2296.19,2262.71,2229.92,2205.29,2169.51,2142.02,2113.68,2087.24,2064.89,2035.54,2019.03,1996.02,1986.1,1967.38,1955.81,1939.51,1912.11,1881.29,1862.08,1840.89,1824.76,1807.02,1787.81,1768.9,1755.43,1740,1725.65,1723.11,1698.14,1686.43,1670.51,1635.86,1624.22,1602.87,1587.46,1568.67,1563.06,1540.97,1523.4,1515.11,1498.56,1489.52,1480,1470.63,1452.25,1446.08,1425.43,1417.37,1405.03,1395.02,1390.73,1376.3,1372.94,1370.22,1371.08,1381.89,1374.46,1367.02,1364.17,1363.7,1369.51,1378.17,1375.86,
